No|Pengguna|PLK|DPB|Tgl Masuk|Divisi|Kode Proyek|Product|Nama Proyek|Description|Account|Unit|Cur|Unit price|Order|Curr. amount|Total (Rupiah)|Tgl Pengajuan|Tgl Kebutuhan|SPPH|PO|Jenis Order|Supplier|Order|Cur|Harga|Total|Tanggal PO|Tanggal Kirim|ETA|Barang Tiba|Negosiasi|Efisiensi|BA|Jml Brg|delivery time Amd|Status|Keterangan
1|RENNI|0|110003458||Unit Bisnis ELHAN|11614UD120|N13104508|ALKOM INTERKOM KRI KELAS AMY 2014|BRG JD ELEKTRIK; PTT FOOT SWITCH HEIL	|2131|BU|IDR|1200000|7|8400000|8400000|23/01/2015 0:00:00|19/01/2015 0:00:00|140000382|220000375|SP|BITRAS, CV.|7|IDR|1155000|8085000|03/02/2015 0:00:00|17/02/2015 0:00:00|TIDAK|22/06/2015 0:00:00|TIDAK|315000|310001676|7|||
2|RENNI|0|110003458||Unit Bisnis ELHAN|11614UD120|N13104509|ALKOM INTERKOM KRI KELAS AMY 2014|BRG JD ELEKTRIK; PS TDK LAMBDA 50W 5V|2131|BU|IDR|455000|5|2275000|2275000|23/01/2015 0:00:00|19/01/2015 0:00:00|140000382|220000375|SP|BITRAS, CV.|5|IDR|440000|2200000|03/02/2015 0:00:00|17/02/2015 0:00:00|TIDAK|22/06/2015 0:00:00|TIDAK|-5810000|310001676|5|||
3|RENNI|0|110003458||Unit Bisnis ELHAN|11614UD120|N13104510|ALKOM INTERKOM KRI KELAS AMY 2014|BRG JD ELEKTRIK; THUMBWHEEL SWITCH A7AS-206|2131|BU|IDR|106000|10|1060000|1060000|23/01/2015 0:00:00|19/01/2015 0:00:00|140000382|220000375|SP|BITRAS, CV.|10|IDR|102000|1020000|03/02/2015 0:00:00|17/02/2015 0:00:00|TIDAK|22/06/2015 0:00:00|TIDAK|-7025000|310001676|10|||
4|RENNI|0|110003457||Unit Bisnis ELHAN|11614UD120|N13104505|ALKOM INTERKOM KRI KELAS AMY 2014|BRG JD ELEKTRIK; CREATIVE SOUND BLASTER X-FI GO; PRO USB AUDIO SYSTEM WITH SBX SB1290|2131|BU|IDR|790000|25|1,975E+07|1,975E+07|23/01/2015 0:00:00|05/02/2015 0:00:00|140000381|220000374|SP|BITRAS, CV.|25|IDR|755000|18875000|03/02/2015 0:00:00|17/03/2015 0:00:00|TIDAK|22/06/2015 0:00:00|TIDAK|875000|310001722|25|||
5|RENNI|0|110003457||Unit Bisnis ELHAN|11614UD120|N13104506|ALKOM INTERKOM KRI KELAS AMY 2014|BRG JD ELEKTRIK; ANDREA ELEC C1-1021450-1 USB-SA-1 HIGH FIDELITY EXTERNAL DIGITAL SOUND CARD WITH NOISE REDUCTION TECHNOLOGY|2131|BU|IDR|770000|3|2310000|2310000|23/01/2015 0:00:00|05/02/2015 0:00:00|140000381|220000374|SP|BITRAS, CV.|3|IDR|733000|2199000|03/02/2015 0:00:00|17/03/2015 0:00:00|TIDAK|22/06/2015 0:00:00|TIDAK|-16565000|310001722|3|||
6|RENNI|0|110003457||Unit Bisnis ELHAN|11614UD120|N13104507|ALKOM INTERKOM KRI KELAS AMY 2014|BRG JD ELEKTRIK; UTEK UT-792 2PORTS PCI-E TO RS485/422 MULTI SERIAL PORT CARD WITH ESD PROTECTION|2131|BU|IDR|2100000|2|4200000|4200000|23/01/2015 0:00:00|05/02/2015 0:00:00|140000381|220000374|SP|BITRAS, CV.|2|IDR|2020000|4040000|03/02/2015 0:00:00|17/03/2015 0:00:00|TIDAK|22/06/2015 0:00:00|TIDAK|-14675000|310001722|2|||
7|SITI|0|110003456||Divisi Manajemen Strategi & Operasi|NONE|N27110557|No Project|HARD DISK; HP 1TB 6G SATA 7.2K 3.5IN SC MDL HDD [657750-B21]	|2249|UN|IDR|3400000|2|6800000|6800000|23/01/2015 0:00:00|20/05/2015 0:00:00|130002321|210002190|SP|BERCA HARDAYA PERKASA, PT.|2|IDR|3325000|6650000|27/01/2015 0:00:00|24/03/2015 0:00:00|TIDAK|22/06/2015 0:00:00|TIDAK|150000|310001762|2|||
8|RAHMAT|0|110003455||Divisi Produksi|35015ME108|13113877|MODUL SURYA IPP KUPANG 5 MWp 2015|BRG JD MEKANIK; TPT/TPE BACKSHEET THICNESS : 0.3 MM, WIDTH 990 MM,LENGTH 100 M|2134|SQM|USD|5,5|34440|189420|1E+09|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|34440|USD|3|120540|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|106260|310002106|34440|||
9|RAHMAT|0|110003455||Divisi Produksi|35015ME108|13113956|MODUL SURYA IPP KUPANG 5 MWp 2015|BRG JD MEKANIK; BUS RIBBON, 0,35 MM X 5 MM	|2134|KG|USD|23|798|18354|2,320496E+08|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|798|USD|22|17556|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|-64806|310002106|798|||
10|RAHMAT|0|110003455||Divisi Produksi|35015ME108|13113957|MODUL SURYA IPP KUPANG 5 MWp 2015|BRG JD MEKANIK; STRING RIBBON, 0,23 MM X 1,6 MM	|2134|KG|USD|23|3780|86940|1E+09|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|3780|USD|22|83160|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|3780|310002106|3780|||
11|RAHMAT|0|110003455||Divisi Produksi|35015ME108|10210062|MODUL SURYA IPP KUPANG 5 MWp 2015|SOLAR CELL; LOW IRON TEMPERED GLASS 1630 MM X 986 MM X 3,2 MM|2134|PCS|USD|9|21000|189000|1E+09|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|21000|USD|8|170100|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|105840|310002106|21000|||
12|RAHMAT|0|110003455||Divisi Produksi|35015ME108|13112383|MODUL SURYA IPP KUPANG 5 MWp 2015|BARANG JADI MEKANIK; BARANG JADI MEKANIK; JUNCTION BOX,  WITH  THREE DIODE CABLE -CONNECTOR, PLASTIK, KOTAK/PERSEGI, HITAM|2134|BU|USD|8,84|21000|185640|1E+09|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|21000|USD|5|107100|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|102480|310002106|21000|||
13|RAHMAT|0|110003455||Divisi Produksi|35015ME108|16100356|MODUL SURYA IPP KUPANG 5 MWp 2015|BAHAN KIMIA; SILICONE SEALANT FOR FRAMING, 1 TUBE : 300 ML|2134|TUB|USD|3,59|8400|30156|3,812623E+08|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|8400|USD|2|21000|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|-53004|310002106|8400|||
14|RAHMAT|0|110003455||Divisi Produksi|35015ME108|10210064|MODUL SURYA IPP KUPANG 5 MWp 2015|SOLAR CELL; POLYCRYSTALLINE CELL, 156 MM X 156 MM, POWER : 4.18 WP, AVERAGE EFFICIENCY : 17.2 %|2134|PCS|USD|1,42|1260000|1789200|1E+09|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|1260000|USD|1|1360800|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|1706040|310002106|1260000|||
15|RAHMAT|0|110003455||Divisi Produksi|35015ME108|13113876|MODUL SURYA IPP KUPANG 5 MWp 2015|BRG JD MEKANIK; EVA FILM THICNESS : 0.5 MM, WIDTH 990 MM,LENGTH 100 M	|2134|SQM|USD|1,8|68880|123984|1E+09|23/01/2015 0:00:00|23/02/2015 0:00:00|130002337|210002209|PO|CNBM SOLAR|68880|USD|2|117096|04/02/2015 0:00:00|31/05/2015 0:00:00|TIDAK|26/06/2015 0:00:00|TIDAK|40824|310002106|68880|||
16|DWI|0|110003454||Divisi Produksi|35014MR121|10162389|RACK INTERLOCKING DAN NON INTERLOCKING 2014|CONNECTOR; TERMINAL; UT4 QUATTRO TG P/P; 3064030; PHOENIXCONTACT|2134|PCS|IDR|51000|5060|2,5806E+08|2,5806E+08|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|5060|IDR|33635|170193100|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|253773270|340600195|5060|||
17|DWI|0|110003454||Divisi Produksi|35014MR121|10162390|RACK INTERLOCKING DAN NON INTERLOCKING 2014|CONNECTOR; TERMINAL; URTK/S-BEN 10; 0309109; PHOENIXCONTACT|2134|PCS|IDR|118092|685|8,089302E+07|8,089302E+07|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|685|IDR|46945|32157325|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|76606294|340600195|685|||
18|DWI|0|110003454||Divisi Produksi|35014MR121|10201071|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; END COVER,FOR UK5-N, D-UK 4/10, PHOENIX P/N:3003020|2134|BU|IDR|5126,12|270|1384052|1384052|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|270|IDR|2292|618840|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|-2902677,62|340600195|270|||
19|DWI|0|110003454||Divisi Produksi|35014MR121|10201090|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; TERMINALBLOCK, PANELMOUNTING, UK5N, PHOENIX P/N : 3004362|2134|BU|IDR|8650,33|2640|2,283687E+07|2,283687E+07|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|2640|IDR|3947|10420080|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|18550142|340600195|2640|||
20|DWI|0|110003454||Divisi Produksi|35014MR121|10201095|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; END BRACKET / TERMINAL STOPPER, CLIPFIX 35, PHOENIX 3022218|2134|BU|IDR|36043,06|1370|4,937899E+07|4,937899E+07|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|1370|IDR|1794|2457780|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|45092262|340600195|1370|||
21|DWI|0|110003454||Divisi Produksi|35014MR121|10201601|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; JUMPER CONNECTOR FOR UK5-N, , FIXED BRIDGE FBI 10-6, PHOENIX P/N : 0203250
|2134|BU|IDR|22063,87|270|5957245|5957245|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|270|IDR|13805|3727350|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|1670515|340600195|270|||
22|DWI|0|110003454||Divisi Produksi|35014MR121|10201660|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; TERMINAL STRIP MARKER, KLM, PHOENIX P/N : 1004306|2134|BU|IDR|7849,38|685|5376826|5376826|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|685|IDR|6258|4286730|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|1090095,5|340600195|685|||
23|DWI|0|110003454||Divisi Produksi|35014MR121|10202278|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; PARTITION PLATE ; ATP-UT-QUATTRO; 3047196; PHOENIXCONTACT	|2134|PCS|IDR|7000|510|3570000|3570000|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|510|IDR|4045|2062950|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|-716730|340600195|510|||
24|DWI|0|110003454||Divisi Produksi|35014MR121|10202279|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; END COVER ; D-UT 2,5/4-QUATTRO; 3047170; PHOENIXCONTACT|2134|PCS|IDR|5700|110|627000|627000|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|110|IDR|4277|470470|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|-3659730|340600195|110|||
25|DWI|0|110003454||Divisi Produksi|35014MR121|10202282|RACK INTERLOCKING DAN NON INTERLOCKING 2014|ACCESSORIES; END COVER; TS-RTK-BEN; 0308029; PHOENIXCONTACT|2134|PCS|IDR|27000|110|2970000|2970000|23/01/2015 0:00:00|12/02/2015 0:00:00|130002378|210002247|SPERJ|PT. TRANSAVIA OTOMASI PRATAMA|110|IDR|8900|979000|18/02/2015 0:00:00|01/06/2015 0:00:00|TIDAK|22/09/2015 0:00:00|TIDAK|-1316730|340600195|110|||
